"mongo_db.bulk_insert: doc_size=4.89MB, time_mean=0.7532862186431885",0.6473510265350342,0.6251168251037598,0.565861701965332,1.2981467247009277,0.6299548149108887
"mongo_db.bulk_insert: doc_size=4.89MB, time_mean=0.6333932876586914",0.593073844909668,0.5576760768890381,0.7033469676971436,0.5931410789489746,0.9468998908996582,0.5661828517913818,0.5530960559844971,0.5606851577758789,0.7213587760925293,0.5384721755981445
"mongo_db.bulk_insert_collections: doc_size=4.89MB, time_mean=0.641861367225647",0.5641450881958008,0.856126070022583,0.6104021072387695,0.5810468196868896,0.6914589405059814,0.5864148139953613,0.6067428588867188,0.755871057510376,0.581840991973877,0.5845649242401123
"mongo_db.find_collections: indexed=False, count= 651, time_mean=0.029965877532958984",0.023202180862426758,0.034943580627441406,0.024075984954833984,0.02206730842590332,0.05686616897583008,0.04743146896362305,0.02413320541381836,0.02255558967590332,0.02241802215576172,0.02196526527404785
"mongo_db.find_collections: indexed=True, count= 651, time_mean=0.02194499969482422",0.0397181510925293,0.02557826042175293,0.017650127410888672,0.019989013671875,0.018213987350463867,0.01724529266357422,0.019889116287231445,0.017837047576904297,0.017940044403076172,0.02538895606994629
"mongo_db.find_collections: indexed=False, count= 651, time_mean=0.01259455680847168",0.01208806037902832,0.012562274932861328,0.012303829193115234,0.012838125228881836,0.01296687126159668,0.012439966201782227,0.01222085952758789,0.011983156204223633,0.012260913848876953,0.014281511306762695
"mongo_db.find_collections: indexed=True, count= 651, time_mean=0.027483010292053224",0.04113173484802246,0.03659415245056152,0.01689291000366211,0.025075435638427734,0.05320477485656738,0.017462491989135742,0.017308950424194336,0.017414093017578125,0.03238320350646973,0.017362356185913086
"mongo_db.find_collections: indexed=False, count= 651, time_mean=0.012890315055847168",0.012420177459716797,0.012109994888305664,0.012816429138183594,0.013007879257202148,0.013947725296020508,0.013158082962036133,0.01298832893371582,0.01244211196899414,0.013228416442871094,0.012784004211425781
"mongo_db.find_collections: indexed=True, count= 651, time_mean=0.028106141090393066",0.019196033477783203,0.027332782745361328,0.057021141052246094,0.027073144912719727,0.03141641616821289,0.017931699752807617,0.022101640701293945,0.01852869987487793,0.023412704467773438,0.03704714775085449
"mongo_db.bulk_insert_collections: doc_size=4.89MB, time_mean=0.7938485145568848",0.7489230632781982,0.7903900146484375,1.074937105178833,0.7271111011505127,0.7254459857940674,0.7258167266845703,0.8332760334014893,0.9065799713134766,0.703416109085083,0.7025890350341797
"mongo_db.find_collections: indexed=True, count= 651, time_mean=0.033223319053649905",0.0170440673828125,0.04041552543640137,0.052095890045166016,0.023075342178344727,0.020273208618164062,0.023057222366333008,0.030988454818725586,0.04110002517700195,0.03854107856750488,0.04564237594604492
"mongo_db.scan_collections: db_size=4.89MB, scanned=2000, time_mean=0.0034758806228637694",0.0043332576751708984,0.0038139820098876953,0.00357818603515625,0.0034182071685791016,0.0032281875610351562,0.0034019947052001953,0.003164052963256836,0.0033431053161621094,0.00325775146484375,0.003220081329345703
"mysql_db.select: indexed=True, db_size= 4.89MB, time_mean=0.0046452760696411135",0.004034280776977539,0.0027167797088623047,0.003820657730102539,0.0024907588958740234,0.0040624141693115234,0.0041599273681640625,0.008672952651977539,0.011276006698608398,0.0025997161865234375,0.0026192665100097656
"mongo_db.find: indexed=True, count= 651, time_mean=0.023961901664733887",0.05971121788024902,0.01761603355407715,0.01765131950378418,0.017995119094848633,0.017930269241333008,0.017772436141967773,0.02849102020263672,0.022837162017822266,0.020832300186157227,0.01878213882446289
"mongo_db.find: indexed=True, count= 651, time_mean=0.04837534427642822",0.11164116859436035,0.02025771141052246,0.023718833923339844,0.036554813385009766,0.019220590591430664,0.019088268280029297,0.1471240520477295,0.0339353084564209,0.04746413230895996,0.024748563766479492
"mysql_db.select: indexed=True, db_size= 4.89MB, time_mean=0.004513287544250488",0.003515958786010742,0.002562999725341797,0.005385160446166992,0.0026717185974121094,0.002740144729614258,0.012682914733886719,0.004477977752685547,0.004227638244628906,0.004019260406494141,0.002849102020263672
"mysql_db.select: indexed=True, db_size= 98.08MB, time_mean=0.025701308250427247",0.0274660587310791,0.023507356643676758,0.03455233573913574,0.024296045303344727,0.023020505905151367,0.02948474884033203,0.02353072166442871,0.024549007415771484,0.023801326751708984,0.022804975509643555
"mysql_db.select: indexed=True, db_size= 476.12MB, time_mean=0.00262451171875",0.00124359130859375,0.002566814422607422,0.0012526512145996094,0.0013327598571777344,0.0025177001953125,0.0025720596313476562,0.0010480880737304688,0.003566741943359375,0.0023527145385742188,0.007791996002197266
"mysql_db.select: indexed=True, db_size= 476.12MB, time_mean=0.002577066421508789",0.005144834518432617,0.006194591522216797,0.0012280941009521484,0.0012235641479492188,0.0012350082397460938,0.0010988712310791016,0.0014736652374267578,0.005750894546508789,0.0011510848999023438,0.0012700557708740234
"mysql_db.select: indexed=True, db_size= 476.12MB, time_mean=0.0038714170455932616",0.0031189918518066406,0.0012669563293457031,0.0011501312255859375,0.002611398696899414,0.001039743423461914,0.0069925785064697266,0.006541013717651367,0.004779338836669922,0.010015010833740234,0.0011990070343017578
"mysql_db.select: indexed=True, db_size= 476.12MB, time_mean=0.006027841567993164",0.03245830535888672,0.002601146697998047,0.0028848648071289062,0.006461381912231445,0.0032186508178710938,0.004349946975708008,0.0010919570922851562,0.0025267601013183594,0.003300189971923828,0.0013852119445800781
